Date,Ticker,Lookback_Index,Attention_Weight
2025-03-24,CMCSA,15,0.04990088567137718
2025-03-24,CMCSA,16,0.05004717409610748
2025-03-24,CMCSA,17,0.050099797546863556
2025-03-24,CMCSA,18,0.05007276311516762
2025-03-24,CMCSA,19,0.05012833699584007
2025-03-24,CMCSA,20,0.050064653158187866
2025-03-24,COST,1,0.050682857632637024
2025-03-24,COST,2,0.05051950365304947
2025-03-24,COST,3,0.050290822982788086
2025-03-24,COST,4,0.05021844431757927
2025-03-24,COST,5,0.05025196447968483
2025-03-24,COST,6,0.05026229843497276
2025-03-24,COST,7,0.05022119730710983
2025-03-24,COST,8,0.05019601061940193
2025-03-24,COST,9,0.05010112747550011
2025-03-24,COST,10,0.049886010587215424
2025-03-24,COST,11,0.04979606717824936
2025-03-24,COST,12,0.04974506050348282
2025-03-24,COST,13,0.04968070983886719
2025-03-24,COST,14,0.04955872893333435
2025-03-24,COST,15,0.049707379192113876
2025-03-24,COST,16,0.04978605732321739
2025-03-24,COST,17,0.04976239055395126
2025-03-24,COST,18,0.04969270899891853
2025-03-24,COST,19,0.04974763095378876
2025-03-24,COST,20,0.04989306256175041
2025-03-24,INTC,1,0.05008716881275177
2025-03-24,INTC,2,0.05011980980634689
2025-03-24,INTC,3,0.05012812837958336
2025-03-24,INTC,4,0.0500890277326107
2025-03-24,INTC,5,0.050055839121341705
2025-03-24,INTC,6,0.05007666349411011
2025-03-24,INTC,7,0.04999658465385437
2025-03-24,INTC,8,0.04993477463722229
2025-03-24,INTC,9,0.04994354397058487
2025-03-24,INTC,10,0.05002658814191818
2025-03-24,INTC,11,0.05008930712938309
2025-03-24,INTC,12,0.05010410025715828
2025-03-24,INTC,13,0.05000361427664757
2025-03-24,INTC,14,0.0498102605342865
2025-03-24,INTC,15,0.04981572553515434
2025-03-24,INTC,16,0.04989195987582207
2025-03-24,INTC,17,0.049972597509622574
2025-03-24,INTC,18,0.0498623251914978
2025-03-24,INTC,19,0.049954164773225784
2025-03-24,INTC,20,0.050037823617458344
2025-03-24,INTU,1,0.05061313509941101
2025-03-24,INTU,2,0.05039290338754654
2025-03-24,INTU,3,0.050016824156045914
2025-03-24,INTU,4,0.04977547377347946
2025-03-24,INTU,5,0.04978896677494049
2025-03-24,INTU,6,0.04986701160669327
2025-03-24,INTU,7,0.04982547461986542
2025-03-24,INTU,8,0.04990266636013985
2025-03-24,INTU,9,0.04993773624300957
2025-03-24,INTU,10,0.05005216225981712
2025-03-24,INTU,11,0.05000981688499451
2025-03-24,INTU,12,0.04995475709438324
2025-03-24,INTU,13,0.049884092062711716
2025-03-24,INTU,14,0.04984171688556671
2025-03-24,INTU,15,0.049938276410102844
2025-03-24,INTU,16,0.05005199462175369
2025-03-24,INTU,17,0.05006060376763344
2025-03-24,INTU,18,0.049993451684713364
2025-03-24,INTU,19,0.04999897629022598
2025-03-24,INTU,20,0.05009391903877258
2025-03-24,MSFT,1,0.05025014653801918
2025-03-24,MSFT,2,0.05000123754143715
2025-03-24,MSFT,3,0.04992293938994408
2025-03-24,MSFT,4,0.04986227676272392
2025-03-24,MSFT,5,0.05002984777092934
2025-03-24,MSFT,6,0.05005446821451187
2025-03-24,MSFT,7,0.05007688328623772
2025-03-24,MSFT,8,0.050054315477609634
2025-03-24,MSFT,9,0.049970220774412155
2025-03-24,MSFT,10,0.05001263692975044
2025-03-24,MSFT,11,0.04991556704044342
2025-03-24,MSFT,12,0.04989195987582207
2025-03-24,MSFT,13,0.049905791878700256
2025-03-24,MSFT,14,0.0498962365090847
2025-03-24,MSFT,15,0.049995820969343185
2025-03-24,MSFT,16,0.05006720870733261
2025-03-24,MSFT,17,0.050033099949359894
2025-03-24,MSFT,18,0.04999225214123726
2025-03-24,MSFT,19,0.049989547580480576
2025-03-24,MSFT,20,0.050077639520168304
2025-03-24,QCOM,1,0.05016467720270157
2025-03-24,QCOM,2,0.050099536776542664
2025-03-24,QCOM,3,0.0500168539583683
2025-03-24,QCOM,4,0.04985104873776436
2025-03-24,QCOM,5,0.049883775413036346
2025-03-24,QCOM,6,0.04992125183343887
2025-03-24,QCOM,7,0.04993430897593498
2025-03-24,QCOM,8,0.04992442578077316
2025-03-24,QCOM,9,0.04991506040096283
2025-03-24,QCOM,10,0.05001121386885643
2025-03-24,QCOM,11,0.04996655508875847
2025-03-24,QCOM,12,0.04994212090969086
2025-03-24,QCOM,13,0.04991788789629936
2025-03-24,QCOM,14,0.04993053898215294
2025-03-24,QCOM,15,0.05003400519490242
2025-03-24,QCOM,16,0.05011838674545288
2025-03-24,QCOM,17,0.05010465532541275
2025-03-24,QCOM,18,0.050078436732292175
